"concept","cuis","rep_cuis","excluded_cuis","cc"
"major cv event","C0205082;C0205164;C0441471;C3538987;C4019010;C4048877;C4318503;C4318856;C4521762","C1320716;C0205082","",2077
"hepatic disorders","C0023895","C0023895","",1611
"sun $nmbr$ $nmbr$","C0038817;C0376223",NULL,NULL,1286
"ics only","C0205171;C0815320;C1720467;C4551720",NULL,NULL,137
"united states or canada","C0006823;C0041703",NULL,NULL,1550
"no of events totol no","C0441471;C3541888",NULL,NULL,412
"injectable anti hyperglycaemic n","C0432633;C1272883","C1321567","",361
"other antithrombotic medication for index event no","C0013227;C0441471;C0600653;C0918012;C1552854;C1637833;C2986546;C3244316;C4019010;C4284232",NULL,NULL,412
"cdai score mean s d","C0444504;C0449820;C0683448;C1413248;C2347634;C2348143;C3273706;C4050231",NULL,NULL,697
"any aes n","C1412268;C2699274","C0877248","",47
"lvef within $nmbr$ months","C0428772;C0439231;C0488728","C0018801;C0428772","",1273
"unknown missing","C0439673;C1551393;C1705492;C3272743;C3541433;C4050014","C1705492","",1144
"mod sev exacerbation rates","C0011860;C0439793;C0458216;C0871208;C1521828;C2983285;C4086268","C4086268;C1521828;C0439793","",1195
"postbronchodilator fev $nmbr$ l","C2599594;C3714541",NULL,NULL,1599
"cmh rr $nmbr$ ci","C0008107;C3259781;C4554402",NULL,NULL,1544
"ecg and imaging data","C0011923;C0079595;C1511726;C1623258;C3245479;C3714741",NULL,NULL,1427
"$nmbr$ antianginal drugs","C0013227;C1874267;C3537168;C3687832",NULL,NULL,367
"dipyridamole","C0012582","C0012582","",1228
"vildagliptin n $nmbr$","C1570906","C1570906","",2068
"cardiovascular hospitalization","C0007226;C0019993;C3887460",NULL,NULL,649
"total cholesterol mmol l sd","C0201950;C0543421;C1532563;C2699239","C0543421","",1504
"peripheral artery stenosis","C4025272",NULL,NULL,934
"change from baseline in acq $nmbr$ score","C0168634;C0392747;C0443172;C0449820;C1442488;C1705241;C2919686;C4050231;C4319952",NULL,NULL,767
"prior history of cardiovascular disease n","C0332152;C0455539;C2826257",NULL,NULL,1494
"without cerebrovascular disease","C0007820",NULL,NULL,728
"sotagliflozin","C3896939","C3896939","",2067
"aml hctz n $nmbr$","C0020261;C0023465;C0023467",NULL,NULL,1149
"msfc timed $nmbr$ foot walk test median seconds","C0016504;C0347981;C0392761;C0457385;C0549183;C0876920;C2346504;C2347635;C2348144;C2348613;C2348704;C2939193;C4277740",NULL,NULL,635
"stage $nmbr$ $nmbr$","C0205390;C1300072;C1306673",NULL,NULL,541
"established ascvd","C0443211;C1272684;C3665365","C0004153","",1698
"metformin use n","C0025598;C0042153;C0457083;C1947944","C0025598","",1345
"placebo ideglira","C0032042;C1696465;C1706408;C4308663",NULL,NULL,774
"cornell index pv","C0030840;C0032463;C0600653;C0918012;C1552854;C1637833;C2986546",NULL,NULL,734
"study treatment","C1521826",NULL,NULL,717
"unknown type","C0332307;C0439673;C1547052;C3541433;C4050014",NULL,NULL,93
"egfr mumin $nmbr$ $nmbr$ m $nmbr$","C0369637;C0441923;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"large very large","C0442824;C0549177;C2984081","","",-10
"gusto severe moderate","C1299393",NULL,NULL,322
"blood eosinophil count geometric mean sd loge scale cells ll","C0007584;C0007634;C0014467;C0175659;C0349674;C0750480;C1705566;C1947916;C2697934;C2699239;C2986759","C0014467","",849
"rando in na","C0597484;C1272460;C1546968;C1879645;C4049872;C4552882",NULL,NULL,419
"high dose","C0444956","C0444956","",111
"blood leukocyte count $nmbr$ cells per l","C0023508;C0023516;C0347983;C0427512",NULL,NULL,659
"taking calcium supplements at baseline n","C0006675;C0006726;C0168634;C0242295;C1442488;C1515187;C1947943;C2348609;C2936886;C3540037;C3714611","C0006675;C2348609","",2187
"mean sd days since","C0439228;C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"any pulmonary medication","C0013227;C0024109;C2707265;C2709248;C3244316;C4284232;C4522268",NULL,NULL,572
"yes r $nmbr$ y","C0205090;C0684010;C1549445;C1705108;C1710701;C2603358",NULL,NULL,147
"history of more than $nmbr$ prior mi","C0019664;C0019665;C0262512;C0262926;C0332152;C1705255;C2004062;C2826257;C3810814",NULL,NULL,832
"duration of pci min median n iqr","C0449238;C0549183;C0702093;C0876920;C1524029;C2347635;C2348144;C2926735;C2939193;C3813700;C4049621",NULL,NULL,1895
"intensified baseline n $nmbr$","C0168634;C1442488",NULL,NULL,625
"rosuvastatin n $nmbr$ $nmbr$","C0965129","C0965129","",886
"class i or no symptoms","C0441885;C0683368;C1319793;C1457887;C2698967",NULL,NULL,613
"amlodipine valsartan $nmbr$ $nmbr$ mg n $nmbr$ i","C0021966;C0024671;C0026410;C0221138;C0369718;C0439269;C0441922;C1960952;C1962523;C2346927;C4321396;C4521761","","",78
"ertugliflozin $nmbr$ mg","C0024671;C0026410;C0439269;C1960952;C2346927;C4079805;C4321396;C4521761","C4079805","",1180
"mean duration offollow up years","C0439234;C0444504;C0449238;C2347634;C2348143;C2926735",NULL,NULL,1099
"clinical history","C0019664;C0019665;C0205210;C0262512;C0262926;C1705255;C2004062",NULL,NULL,832
"prior tnf inhibitor exposure","C0274281;C0332152;C0332157;C1448177;C1999216;C2826257",NULL,NULL,362
"tah n $nmbr$","C0404079","","",-10
"$nmbr$ $nmbr$ moderate","C0205081;C1881878;C4049705;C4049706;C4085643;C4321335",NULL,NULL,321
"completed prior febuxostat studya","C0205197;C0249529;C0332152;C2826257;C3854010",NULL,NULL,26
"previous antihypertensive treatment no","C0003364;C0039798;C0087111;C0205156;C1522326;C1533734;C1552607;C1705169;C3538994;C3887704",";C0003364","",1579
"calcium antagonists n","C0006684","C0006684","",1884
"aged $nmbr$ y or older n","C0001779;C0001792;C0580836;C1999167","C0001779","",480
"eq $nmbr$ d visual analog score","C0205163;C0234621;C0243071;C0439185;C0449820;C4050231",NULL,NULL,1625
"heavy calcification","C0006660;C0006663;C0175895;C0439539;C1533591;C1879982;C2242558","C1533591","",264
"statin group","C0360714;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429",NULL,NULL,1526
"mean median mtx dose mg week","C0024671;C0026410;C0332174;C0366550;C0439230;C0439269;C0444504;C0549183;C0876920;C1960952;C2346927;C2347634;C2347635;C2348143;C2348144;C2939193;C4321396;C4521761",NULL,NULL,192
"coronary angiography during the index hospital stay","C0002978;C0085532;C0428776;C0600653;C0918012;C1548829;C1552854;C1637833;C2986546;C3489408",NULL,NULL,1724
"hispanic latino","C0086409;C0086528","C0086528;C0086409;C0015031","",363
"ptga $nmbr$ $nmbr$ cm vas","C0042815;C3536884;C3827561",NULL,NULL,1751
"pasi score $nmbr$ $nmbr$ t mean sd","C0444504;C0449820;C2347634;C2348143;C2699239;C4050231;C4528685",NULL,NULL,37
"any prerandomization failure of an antiarrhythmic drug no","C0003195;C0231174;C0301380;C0680095","C0003195","",379
"mean bp mmhg","C0037623;C0439475;C0444504;C1415692;C1708288;C2347634;C2348143;C4318478","C0005823","",1469
"obese","C0028754",NULL,NULL,710
"factor v leiden","C0380964;C0584960;C1414509;C3542419",NULL,NULL,2019
"core study to first infusion","C0205435;C0444669;C0557651;C0574032;C1167518;C1279901;C1706352;C1827465;C1882467;C2603343;C3274653",NULL,NULL,1242
"dose reduction at randomization no i","C0021966;C0034656;C0178602;C0221138;C0301630;C0392756;C0869039;C1114758;C1293152;C4551656",NULL,NULL,110
"psa n $nmbr$","C3810537;C3813209",NULL,NULL,125
"joint damage outcomes mitt population","C0010957;C0022417;C0032659;C0392905;C1257890;C1274040;C1706309;C1883709",NULL,NULL,900
"difference $nmbr$ years baseline","C0168634;C0439234;C1442488;C1705241;C1705242",NULL,NULL,625
"no","C1518422","C1518422","",10000
"nyha class when patient was last in stable condition before admission","C0030705;C0184666;C0677946;C0809949;C1517741;C1882083;C3538874",NULL,NULL,1035
"ls mean difference between treatment groups $nmbr$ ci","C0008107;C0023668;C0039798;C0087111;C0374505;C0444504;C1522326;C1533734;C1705169;C1705241;C1705242;C2347634;C2348143;C3259781;C3538994;C3887704",NULL,NULL,519
"baseline serum mg $nmbr$ $nmbr$ mmol l","C0024671;C0026410;C0168634;C0229671;C0439190;C0439268;C0439269;C1442488;C1532563;C1546774;C1550100;C1960952;C2346927;C4321396;C4521761","C0006560","",193
"use of cgm yes","C1524063;C1549445;C1705108;C1710701",NULL,NULL,147
"adjustedb c beta se","C0036919;C0330390;C0439096;C2004068",NULL,NULL,1429
"mitt population","C0032659;C1257890",NULL,NULL,900
"cv death mi stroke","C0011065;C0038454;C1306577;C3538987;C3810814;C4048877;C4082313;C4318503;C4552775;C4554100",NULL,NULL,323
"cv death myocardial infarction stroke","C0011065;C0027051;C0038454;C0428953;C1306577;C2926063;C3538987;C3810814;C4048877;C4082313;C4318503;C4552775;C4552959;C4554100",NULL,NULL,323
"diabetes durationa median","C0011847;C0011849;C0549183;C0876920;C2347635;C2348144;C2939193","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"anticholinergics","C0242896;C3537307;C3540711",NULL,NULL,1704
"stricturing","C1261287",NULL,NULL,1651
"bmi sd kg m $nmbr$","C0578022;C1532718;C2699239",";C1305855","",206
"prior hospitalization for hf","C0018488;C0019993;C0332152;C1313497;C1538440;C2826257;C3273279",NULL,NULL,2359
"race no i","C0021966;C0034510;C0221138;C1706779;C3853635",";C0034510","",1107
"no htn","C0020538","C0020538","",1365
"new onset atrial fibrillation","C0741281","C0004238","",90
"eosinophils $nmbr$ $nmbr$ x $nmbr$ $nmbr$ $nmbr$ n $nmbr$","C0014467;C0200638","C0014467","",849
"bsl baseline cl confidence interval esrd end stage renal disease hb hemoglobin hr hazard ratio k rate of events per $nmbr$ patient years of follow up yr year multivariate cox model with hemoglobin category and baseline urinary albumimcreatinine ratio serum albumin serum creatinine and hemoglobin as covariates","C0009667;C0019046;C0022661;C0030705;C0036773;C0042027;C0168634;C0201976;C0229671;C0439234;C0441471;C0456603;C0589120;C0596019;C0597277;C0600061;C0683312;C0728877;C0871208;C1442488;C1521828;C1522577;C1524119;C1546774;C1547037;C1549954;C1550100;C1565830;C1704685;C1708601;C2362049;C2985465;C3161035;C3274571;C3274659;C3541888;C3714583;C3853906;C3889287",NULL,NULL,1099
"all recurrent strokes","C1836785",NULL,NULL,1419
"surgical technique","C0683469",NULL,NULL,1128
"paracetamol","C0000970",NULL,NULL,502
"baseline pcsi $nmbr$ a","C0168634;C1442488",NULL,NULL,625
"absolute time spent on h day","C0033727;C0332173;C0369286;C0439228;C0439505;C0439546;C0441932;C0564385;C0680968;C4528284",NULL,NULL,1621
"no worsening in pga","C0016410;C0332271;C1457868;C1546960;C3541266;C4050369",NULL,NULL,1525
"antihyperglycemic","C0020616","C0020616",";C0013227;C3244316;C4284232;C0450442;C1254351;C1515187;C1521826;C2826257",33
"\bl sc n n","C0005918;C0006413;C0282380;C1552663;C2827109",NULL,NULL,655
"$nmbr$ h pmg mmol l","C2827804",NULL,NULL,671
"key secondary end points","C0027627;C0175668;C0205436;C2349179",NULL,NULL,1484
"with stent","C0038257",NULL,NULL,569
"peripheral arterial stenosis","C4025272",NULL,NULL,934
"metformin alone","C0025598;C0205171;C0439044;C0679994",NULL,NULL,926
"ics alone","C0205171;C0439044;C0679994;C0815320;C4551720",NULL,NULL,926
"missing data no total no","C0439175;C0439810;C4684714","C4684714","",1145
"normal uln n $nmbr$","C0205307;C0231683;C0439166;C1519815;C2347086;C4553972",NULL,NULL,1676
"othery ethnicity n","C0015031;C0243103",NULL,NULL,787
"lipid levels mg dlj total cholesterol","C0024671;C0026410;C0201950;C0428460;C0439269;C0543421;C1960952;C2346927;C4321396;C4521761","C0023779","",1967
"atenolol no $nmbr$","C0004147","C0004147","",1055
"gender male female number","C0043210;C0079399;C0086287;C0086582;C0237753;C0449788;C1522384;C1705497;C1705498;C1706180;C1706428;C1706429","C0086582","",1276
"mean arterial pressure difference","C0428886;C1705241;C1705242",NULL,NULL,1466
"elevated bnp $nmbr$ pg ml","C0054015;C0205250;C0439297;C1095989;C1417808;C2982014;C3163633",NULL,NULL,1635
"czp $nmbr$ mg q $nmbr$ w","C0024671;C0026410;C0054841;C0439269;C1861828;C1872109;C1960952;C2346927;C4321396;C4521761",NULL,NULL,2274
"haq di improvement $nmbr$ $nmbr$","C2986411;C3826998;C4321476",NULL,NULL,1665
"antihypertensive treatments","C0003364;C0087111",";C0003364","",1579
"edoxaban dose adjusted at randomisation n","C0034656;C0178602;C0456081;C0869039;C1114758;C2975435",NULL,NULL,110
"early clopidogrel intended","C0070166;C1279919;C1283828;C1551357",NULL,NULL,1487
"af type no","C0332307;C0344434;C1547052;C4049859",NULL,NULL,603
"clinical and patient reported characteristics at baseline and randomization","C0034656;C0205210;C0588446;C4684572",NULL,NULL,793
"mean body mass indexj","C0444504;C0518010;C2347634;C2348143",NULL,NULL,146
"prior urate lowering therapies n","C0441994;C0729829;C0935936;C1514463;C2003888",NULL,NULL,1022
"sustained esrd death due to kidney failure or sustained decrease of $nmbr$ in egfr from baseline","C0011065;C0022661;C0035078;C0168634;C0392756;C0443318;C0547047;C0678226;C1306577;C1442488;C1739039;C2316810;C3811844;C3812682;C4082313;C4552775","C0035078","",342
"aortic","C0003483",NULL,NULL,1700
"initial heparin no","C0019134;C0205265;C0770546;C1279901;C1555582;C1705685",NULL,NULL,806
"dapagliflozin","C2353951","C2353951","",2066
"nob systolic blood pressure mm hg","C0439475;C0488055;C0871470;C1306620","C0005823","",1469
"$nmbr$ min","C0702093;C1524029;C3813700",NULL,NULL,1475
"reversibility in fev at","C0449261;C3714541","C0449261;C0231999","",1315
"severe copdc n z $nmbr$","C0205082;C4050465;C4050466",NULL,NULL,313
"past or current","C0521116;C1444637;C1705970;C4284302",NULL,NULL,456
"interaction","C1704675",NULL,NULL,888
"bmi mean sd","C0444504;C0578022;C2347634;C2348143;C2699239",NULL,NULL,2125
"pre bronchodilator fev i l","C0021966;C0221138;C2599602;C3714541",NULL,NULL,1021
"severe cord qvai $nmbr$ sfc","C0205082;C1550235;C1706500;C3489532;C4050465;C4050466;C4521536",NULL,NULL,1283
"all others eteed for $nmbr$ mg edoxaban dose at","C1955473;C2975435;C3539125;C4086581",NULL,NULL,741
"diet i pravastatin n $nmbr$","C0012155;C0012159;C0021966;C0085542;C0221138;C1519433;C2983588;C3668949","C0012155","",1199
"ltt other than statin","C0360714","C0360714","",872
"brv $nmbr$ mg day n","C0155502;C0439422","","",198
"with cerebrovascular disease","C0007820",NULL,NULL,728
"juvenile myoclonic epilepsy","C0270853",NULL,NULL,1607
"metformin no","C0025598","C0025598","",1345
"duration of t $nmbr$ d years","C0439234;C0449238;C2926735",NULL,NULL,1099
"phosphodiesterase type $nmbr$ inhibitors","C0031638;C0332307;C1547052;C1656262;C3539996",NULL,NULL,603
"$nmbr$ f $nmbr$ q","C0016327","","",-10
"hba $nmbr$ c month $nmbr$","C0019016;C0332177;C0439231;C1825777;C3538758",NULL,NULL,1476
"person years","C0027361;C0439234;C2347489",NULL,NULL,1099
"hemoglobin g dlf","C1319312","C0019046","",1177
"fasting plasma glucose mg dl $nmbr$","C0015663;C0202042;C0439269;C0455280","C0455280;C0015663",";C0168634",21
"normoglycaemic individuals n","C0027361;C0237401;C0580545",NULL,NULL,588
"baseline total ipss mean sd","C0168634;C0439175;C0439810;C0444504;C1019118;C1442488;C1998280;C2347634;C2348143;C2699239;C2827405;C3811063",NULL,NULL,2129
"glyeated haemoglobin","C0019046","","",1176
"liraglutide $nmbr$ $nmbr$ mg mean n","C0024671;C0026410;C0439269;C0444504;C1456408;C1960952;C2346927;C2347634;C2348143;C4321396;C4521761","C1456408","",1566
"complex partial ib","C0439855;C0728938;C1550516;C1704241;C2744579;C3890035;C4283819",NULL,NULL,1398
"increased waist circumference","C0205217;C0442805;C0455829","C0455829","",1413
"serum total ige iu ml","C0439458;C1441420",NULL,NULL,301
"hmgcoa rl","C0047420;C1419337;C3539667",NULL,NULL,657
"fgf $nmbr$ low $nmbr$ elevated biomarkers","C0005516;C0016026;C0205250;C0205251;C0919505;C1550472;C3163633;C3890211;C4048187;C4321351;C4522223",NULL,NULL,851
"heart rate mean sd b p m","C0018810;C0369637;C0441923;C0444504;C2347634;C2348143;C2699239","C0018810","",1105
"clinical or lesion rf for st","C0035448;C0036056;C0201660;C0205210;C0221198;C0748398;C1546698;C1547111;C3272372",NULL,NULL,793
"indacaterol $nmbr$ gg qd","C0017454;C0018370;C0332173;C1722260",NULL,NULL,1457
"baseline bsa mean sd","C0168634;C0444504;C1442488;C2347634;C2348143;C2699239",NULL,NULL,1287
"type of hospital care","C0259945;C0332307;C1547052",NULL,NULL,603
"previous ml interaction p $nmbr$ $nmbr$","C0205156;C0439526;C1552607;C1704675;C1705224;C3887665",NULL,NULL,300
"pe","C0070939;C1880476;C4284304",NULL,NULL,1516
"interim analysis","C4684691",NULL,NULL,182
"insulin glargine oad bd prandial","C0005126;C0907402;C1998602;C2344255;C4050145;C4553624","C0907402",";C1998602;C0004446;C0005126;C2344255;C4050145;C0229089;C0439164;C1512019;C3273373;C3665488",69
"yes vs no","C1549445;C1705108;C1710701",NULL,NULL,147
"any acuity bleeding","C0333276","","",-10
"worsened","C1457868;C4084902","C0332271",";C1538440;C3273279;C1412502",282
"crp median range mg literl","C0024671;C0026410;C0439269;C0549183;C0876920;C1514721;C1960952;C2346927;C2347635;C2348144;C2348147;C2939193;C3542016;C3890735;C4048285;C4321396;C4521761","C0006560","",286
"$nmbr$ $nmbr$ $nmbr$ ci $nmbr$ $nmbr$ $nmbr$ $nmbr$ n $nmbr$","C0008107;C3259781",NULL,NULL,519
"$nmbr$ to $nmbr$ mg l n $nmbr$","C0439268","C0006560","",193
"lev exposed","C0023556;C0332157",NULL,NULL,1275
"no ascvd additional cv risk factors n","C0035648;C1524062;C1553898;C3538987;C3665365;C4048877;C4318503",NULL,NULL,1777
"admission for hf in previous year n","C0018488;C0184666;C0205156;C0439234;C0439508;C0809949;C1313497;C1538440;C1552607;C3273279","C0018801",";C0168634;C1524003",12
"mmrc grade n","C0441800;C0919553;C3244287;C3826977",NULL,NULL,683
"non lad","C1518422","","",343
"adalimumab","C1122087",NULL,NULL,942
"$nmbr$ step or incident vitrectomy or photocoagulation","C0023694;C0042903;C1261552;C1328010;C1551358;C1704379;C1705117;C2825408;C3814463",NULL,NULL,571
"age yr race no f","C0001779;C0016327;C0034510;C0439234;C1706779;C3853635","C0001779","",480
"$nmbr$ mg d peq","C0439422","","",198
"baseline pre bronchodilator fev $nmbr$ l","C0168634;C1442488;C2599602;C3714541",NULL,NULL,682
"infliximab combination therapy","C0009429;C0205195;C0556895;C0666743;C1947911;C3811910;C4076075","C0666743","",154
"apo apolipoprotein dm diabetes mellitus hdl c high density lipoprotein cholesterol ldl c low density lipoprotein cholesterol tc total cholesterol tg triglycerides includes agents acting on the renin angiotensin system beta blocking agents calcium channel blockers and diuretics median values standard deviation for medians calculated by q $nmbr$ q $nmbr$ $nmbr$ $nmbr$ includes cardiac glycosides antiarrhythmics class i and iii vasodilators used in cardiac diseases and other cardiac preparations expressed as g l","C0001645;C0003195;C0003591;C0003594;C0006684;C0008377;C0011849;C0012634;C0012798;C0017977;C0018787;C0023821;C0023824;C0035096;C0039411;C0040642;C0041004;C0041405;C0041698;C0042295;C0042402;C0079613;C0201950;C0202117;C0332257;C0428473;C0439070;C0439294;C0441885;C0444686;C0450442;C0456615;C0543421;C0549183;C0871420;C0876920;C1254351;C1273517;C1319793;C1441506;C1521826;C1521827;C1522601;C1552866;C1704930;C1705160;C1824670;C1869853;C2347635;C2348144;C2698967;C2700399;C2757014;C2939193;C2984247;C3272447;C3541930;C3715113;C3812761;C3890007;C4048375;C4522122",NULL,NULL,960
