"";"terms"
"2639";"Absolute time spent “on” without troublesome dyskinesia, h/day"
"2640";"Absolute time spent “on”, h/day"
"2641";"Absolute, litres"
"2642";"Absolutedifferenceestimate vs placebo(95% CI)"
"2643";"Abx-Facil. PCI"
"2644";"Ac tve cancer"
"2645";"Acarbose 一 no. (%)"
"2646";"ACC/AHA lesion class B2 or C, n (%)"
"2647";"Access site"
"2648";"ACCORD ACR <3-4"
"2649";"ACCORD ACR >3-4"
"2650";"ACCORD primary, n (%)"
"2651";"ACCP bleeding risk at inclusion, No. (%)f"
"2652";"ACCP score"
"2653";"ACD"
"2654";"ACE"
"2655";"ACE-I (n, %)"
"2656";"ACE-I or angiotensin receptor blocker"
"2657";"ACE-I or ARB"
"2658";"ACE‐I or ARB"
"2659";"ACE-I or ARB Use"
"2660";"ACE-I or ARB use at baseline"
"2661";"ACE-I or ARB, % (n)"
"2662";"ACE-I/ARB"
"2663";"ACE-I/ARB, (%)"
"2664";"ACE-Inhibitor or ARB (%)"
"2665";"ACE-inhibitor use"
"2666";"ACE-inhibitors"
"2667";"ACE-inhibitors, n (%)"
"2668";"ACE-inhibitors/ARBs, n (%)"
"2669";"ACE-l/ARBs"
"2670";"ACE-lorARB"
"2671";"ACE = angiotensin-converting enzyme; CABG = coronary artery bypass graft; CCSC = Canadian Cardiovascular Society classification; MI = myocardial infarction; PCI = percutaneous coronary"
"2672";"AcE inhibitor"
"2673";"ACE inhibitor"
"2674";"ACE inhibitor— no. (%)"
"2675";"ACE inhibitor /ARB"
"2676";"ACE inhibitor and/or ARB"
"2677";"ACE inhibitor at enrollment"
"2678";"ACE inhibitor at last follow-up"
"2679";"ACE inhibitor monotherapy"
"2680";"ACE inhibitor or angiotensin-receptor blocker — no./total no. (%)"
"2681";"ACE inhibitor or angiotensin II receptor"
"2682";"ACE inhibitor or angiotensin II receptor blocker"
"2683";"ACE inhibitor or angiotensin receptor blocker"
"2684";"ACE inhibitor or ARB"
"2685";"ACE inhibitor or ARB at enrollment"
"2686";"ACE inhibitor or ARB at last follow-up"
"2687";"ACE Inhibitor or ARB Use"
"2688";"ACE inhibitor treatment"
"2689";"Ace inhibitor use (%)"
"2690";"ACE inhibitor Yes"
"2691";"ACE inhibitor, %"
"2692";"AcE inhibitor, ARB, or both"
"2693";"ACE inhibitor, n (%)"
"2694";"ACE inhibitor/ARB"
"2695";"ACE inhibitor/ARB therapy"
"2696";"ACE inhibitor/ARB, %"
"2697";"ACE inhibitors"
"2698";"ACE Inhibitors"
"2699";"ACE inhibitors and ARB"
"2700";"ACE inhibitors or angiotensin-receptor blockers"
"2701";"ACE inhibitors or angiotensin-receptor blockers^"
"2702";"ACE inhibitors or angiotensin II"
"2703";"ACE inhibitors or angiotensin II blockers"
"2704";"ACE inhibitors or Angiotensin Receptor Blockers"
"2705";"ACE inhibitors or ARB"
"2706";"ACE inhibitors or ARBs"
"2707";"ACE inhibitors through hospital discharge or day 7 — %"
"2708";"ACE inhibitors/ARB"
"2709";"ACE inhibitors/ARBs"
"2710";"ACE inhibitors/ARBs, n (%)"
"2711";"ACE inhibitors/sartans"
"2712";"ACE or ARB"
"2713";"ACE/ARB"
"2714";"ACE/ARB medication (%)"
"2715";"ACE/ARB use"
"2716";"ACE/ARB users"
"2717";"ACE=angiotensin-converting enzyme. ARB=angiotensin receptor blockers."
"2718";"Acecoumarol, No. (%)"
"2719";"ACEI"
"2720";"ACEI and/or ARB"
"2721";"ACEi or ARB"
"2722";"ACEI or ARB"
"2723";"ACEi vs. non-ACEi"
"2724";"ACEi, n (%)"
"2725";"ACEi/ARB"
"2726";"ACEI/ARB"
"2727";"ACEi/ARB therapy, n (%)"
"2728";"ACEIs"
"2729";"ACEIs, angiotensin-converting enzyme inhibitors; C, candesartan; DES, drug-eluting stent; eGFR, estimated glomerular filtration rate; HDL, high-density lipoprotein; LDL, low-density lipoprotein; NC, non-candesartan."
"2730";"ACEIs, n (%)"
"2731";"ACEIs/ARBs"
"2732";"Acenocoumaroi"
"2733";"Acetaminophen"
"2734";"Acetyl-salicylic acid"
"2735";"Acetylsalicylic acid"
"2736";"ACholesterol (%)"
"2737";"Acid"
"2738";"Acitretin"
"2739";"Aclidinium 400 pg"
"2740";"Aclidinium 400 pg vs placebo"
"2741";"Aclidinium 400 μg (n = 269)a"
"2742";"Aclidinium 400 μg (n = 337)a"
"2743";"Aclidinium 400 μg (n = 583)b"
"2744";"Aclidinium 400 μg (n = 720)"
"2745";"Aclidinium 400 μg BID (n = 22)"
"2746";"Aclidinium 400 μg BID (n = 223)"
"2747";"Aclidinium 400 μg BID (n = 296)"
"2748";"Aclidinium 400 μg BID (n = 42)"
"2749";"Aclidinium 400 μg BID (n = 583)"
"2750";"Aclidinium/formoterol 400/12 pg twice daily"
"2751";"ACM"
"2752";"ACPA positive"
"2753";"ACPA positive (>7 IU/mL), n (%)"
"2754";"ACPA positive, %"
"2755";"ACPA positive, n (%)"
"2756";"ACPA positive, no. (%)"
"2757";"ACQ-5 score"
"2758";"ACQ-5 score'!'"
"2759";"ACQ-6 score"
"2760";"ACQ-6 score*"
"2761";"ACQ-6 score, mean (SD)e"
"2762";"ACQ-6 score本"
"2763";"ACQ-6 scoret"
"2764";"ACQ-7 total score∗"
"2765";"ACQ score, mean"
"2766";"ACQ5 score"
"2767";"ACQ6 score, mean (SD)"
"2768";"ACR"
"2769";"ACR (mg/g), mean (SD)"
"2770";"ACR > 30 mg/g"
"2771";"ACR Deciles"
"2772";"ACR functional class, n (%)"
"2773";"ACR response by baseline MTX use, no./total no. (%) ACR20"
"2774";"ACR response by baseline weight,"
"2775";"ACR response, %"
"2776";"ACR response, % ACR20"
"2777";"ACR, mg/mmol"
"2778";"ACR20"
"2779";"ACR20 response"
"2780";"ACR20 response at week 16, n (%)"
"2781";"ACR20 response, n/N (%)"
"2782";"ACR20 Week 12 Responders, (n = 72)"
"2783";"ACR50"
"2784";"ACR50 response"
"2785";"ACR50 response, n/N (%)"
"2786";"ACR70"
"2787";"ACR70 response"
"2788";"ACR70 response, n/N (%)"
"2789";"ACR90"
"2790";"ACS"
"2791";"ACS (n - 4,584)"
"2792";"ACS (n = 4,584)"
"2793";"ACS Event"
"2794";"ACS management, no. (%)"
"2795";"ACS presentation"
"2796";"ACS treatment"
"2797";"ACS type"
"2798";"ACT-2"
"2799";"ACT total score ≥ 20"
"2800";"ACT total score ≥ 20 and/or improvement from baseline ≥ 3"
"2801";"ACT.1"
"2802";"action tested is between the continuous variable and treatment."
"2803";"Active"
"2804";"Active-Control Study"
"2805";"Active (n=5569)"
"2806";"ACTIVE A"
"2807";"Active Canakinumab (n = 1,249)"
"2808";"Active Canakinumab (n = 5,467)"
"2809";"Active cancer"
"2810";"Active Cancer"
"2811";"Active cancer — no. (%)"
"2812";"Active cancer at any timeb"
"2813";"Active cancer at baseline"
"2814";"Active Cancer at Randomisation"
"2815";"Active Cancer at Randomization"
"2816";"Active cancer at randomization, n (%)"
"2817";"Active comparatorb"
"2818";"Active inflammatory bowel disease"
"2819";"Active or previous cancer"
"2820";"Active PSO wi111 BSA > 3%, n (.%y"
"2821";"Active smoker"
"2822";"Active smokers"
"2823";"Active smoking"
"2824";"Active treatment"
"2825";"Active vs placebo"
"2826";"Active versus placebo"
"2827";"Activities of Daily Living UPDRS subscore (baseline), mean (SD)"
"2828";"Activity"
"2829";"Activity (0-100 VAS)"
"2830";"activity (range 0-100), mean ± SD"
"2831";"Activity limitation"
"2832";"Actual (L)"
"2833";"Actual or estimated weight, kg"
"2834";"Actual treatment strategy"
"2835";"ACUITY-bleeding major/minor"
"2836";"ACUITY-defined bleeding"
"2837";"ACUITY major"
"2838";"ACUITY Major"
"2839";"ACUITY major or"
"2840";"ACUITY minor"
"2841";"Acute (<24 hr)"
"2842";"Acute and delayed reaction"
"2843";"Acute coronary event"
"2844";"Acute coronary syndrome"
"2845";"Acute coronary syndrome 3025"
"2846";"Acute DVT Study"
"2847";"Acute Increase in Serum Creatinine"
"2848";"Acute infection without septic shock"
"2849";"Acute medication intake (days/month)"
"2850";"Acute reaction"
"2851";"Acute Reperfusion"
"2852";"Acute respiratory insufficiency"
"2853";"Acute rheumatic disorders"
"2854";"Acute stent thrombosis"
"2855";"Acute Stent Thrombosis (definite or probable)"
"2856";"Acute stroke of other determined cause"
"2857";"ADA 160/80 (N[130)"
"2858";"ADA 160/80 N[130"
"2859";"ADA 80/40 (N[130)"
"2860";"ADA 80/40 N[130"
"2861";"ADA IFG"
"2862";"ADA Impaired Fasting Glucose"
"2863";"ADA, no"
"2864";"ADA, yes"
"2865";"Adalimumab"
"2866";"Adalimumab (n = 480)"
"2867";"Adalimumab (n = 70)"
"2868";"Adalimumab (n = 966)"
"2869";"Adalimumab (n=330)"
"2870";"Adalimumab Croup, n/n (%)"
"2871";"Adalimumab Group (n = 159)t"
"2872";"Adamantane derivatives"
"2873";"ADAS-cog score*"
"2874";"ADAS—cog score"
"2875";"ADCS-ADL score*"
"2876";"Add-on to MET"
"2877";"Add-on to MET + SU19"
"2878";"Add-on to MET+SU"
"2879";"Add-on to MET18"
"2880";"Additional angiography"
"2881";"Additional antihypertensive subgroup"
"2882";"Additional endpoints"
"2883";"Additional heparin"
"2884";"Additional investigations"
"2885";"Additional radiographic findings at week 24"
"2886";"Additional subgroup analyses"
"2887";"ADHERE"
"2888";"Adherence >80%"
"2889";"Adherence to study regimen — no. (%)"
"2890";"Adherence to study regimen — no. (%)ff"
"2891";"Adiusted Hazard Ratio*"
"2892";"Adj. HR (95% Cl)a"
"2893";"Adjudicated MACE5"
"2894";"Adjusted"
"2895";"Adjusted    1 OR (95% Cl)"
"2896";"Adjusted change from baseline"
"2897";"Adjusted change from baseline Mean (s.e.)"
"2898";"Adjusted exacerbation rate (per patient peryear)"
"2899";"Adjusted exacerbation rate {per patient peryear)"
"2900";"Adjusted for all baseline variables and interaction between ACEI and baseline UPb"
"2901";"Adjusted for all baseline variables, interaction between ACEI and baseline UP, and declines in SBP and UP"
"2902";"Adjusted for all baseline variables6"
"2903";"Adjusted hazard ratio (95% CI)†"
"2904";"Adjusted Hazard Ratio (95% Cl)*"
"2905";"Adjusted hazard ratio ≠ (95% CI)"
"2906";"Adjusted Hazard Ratio*"
"2907";"Adjusted Hazard Ratio§(95% CI)"
"2908";"Adjusted Hazard Ratio‡(95% CI)"
"2909";"Adjusted HR (95% CI)"
"2910";"Adjusted HR (95% CI)* Compared With No Diabetes at BL or at Year 2"
"2911";"Adjusted HR (95% CI)* Comparing IDM With BL"
"2912";"Adjusted HR (95% Cl)"
"2913";"Adjusted HR (ENL vs LCZ) (95% Cl)"
"2914";"Adjusted HR Losartan vs Atenolol*"
"2915";"Adjusted HR* (95% CI)"
"2916";"Adjusted HR* (95% CL) pValue"
"2917";"Adjusted HR; 95% CI"
"2918";"Adjusted mean (SE)"
"2919";"Adjusted mean (SE) FEVi AUCo_3, mL"
"2920";"Adjusted mean (SE) trough FEVi, mL"
"2921";"Adjusted mean _ SE change from baseline"
"2922";"Adjusted mean ± SE change from baseline"
"2923";"Adjusted mean change"
"2924";"adjusted mean change (kg)"
"2925";"Adjusted mean change from baseline"
"2926";"Adjusted mean change from baseline (95% CI), % [mmol/mol]"
"2927";"Adjusted mean change from baseline (SE)"
"2928";"Adjusted mean difference (95% CI)"
"2929";"Adjusted mean±SE (95% CI)"
"2930";"Adjusted modelc HR, 95% CI, P value"
"2931";"Adjusted OR (95% CI)b"
"2932";"Adjusted OR (95% CI)c"
"2933";"Adjusted OR (95% Cl)"
"2934";"Adjusted P-value for Interaction"
"2935";"Adjusted Rate of FEV1 Decline (SE), ml/yr"
"2936";"Adjusted rate of hospitalized pneumonia events (per patient-year), mean (95% CI)"
"2937";"Adjusted rate of pneumonia events (per patient-year), mean (95% CI)"
"2938";"Adjusted* OR (95% CI) P Value"
"2939";"Adjusted* HR"
"2940";"Adjusted∗ mean (SE) (mL)"
"2941";"Adjusted∗ mean of difference (SE) (mL)"
"2942";"Adjusted⁎Hazard Ratio (95% CI)"
"2943";"Adjusted3 Risk Reduction Losartan vs Placebo (95% Cl)"
"2944";"AdjustedaHR"
"2945";"AdjustedaOR"
"2946";"Adjustedb,c Beta (SE)"
"2947";"ADL"
"2948";"ADL subscale (range, 0-52)*"
"2949";"Administration of study-drug bolus — no./total no. (%)"
"2950";"Administration of study drug (%)"
"2951";"Admission for HF in previous year"
"2952";"Admission for HF in previous year, n (%)"
"2953";"Admission GRACE score"
"2954";"Adolescents (aged 12-17 y), No. (%)"
"2955";"ADP Antagonist"
"2956";"Adults (aged ≥ 18 y), No. (%)"
"2957";"Advanced, n (%)"
"2958";"Adverse event"
"2959";"Adverse events (any grade)"
"2960";"Adverse events leading to premature treatment discontinuation"
"2961";"Adverse eventy"
"2962";"Adverse outcome"
"2963";"Ae' (per cm/s)"
"2964";"AE/A ratio (per 0.1 unit)"
"2965";"AE/e' ratio (per 1 unit)"
"2966";"AED inducer status"
"2967";"Aerobic Activity"
"2968";"Aerobic exercise"
"2969";"AEs in ≥2 Japanese patients in a study arm, n (%)§"
"2970";"AEs leading to"
"2971";"AEs leading to discontinuation of study drugb"
"2972";"AEs leading to dose reduction of study drugb"
"2973";"AEs related to"
"2974";"AEs*"
"2975";"Aetiology of PAH"
"2976";"AF"
"2977";"AF alone"
"2978";"AF alone refers to atrial fi-brillation without coexisting cardiovascular conditions but with left atrial dilatation. ACE denotes angiotensin-con-verting enzyme, HF heart failure, and LVD left ventricular dysfunction."
"2979";"AF duration, n (%)"
"2980";"AF first diagnosis >2 years, n (%)"
"2981";"AF on baseline ECG, n (%)"
"2982";"AF or atrial flutter!"
"2983";"AF or atrial flutter卞"
"2984";"AF pattern"
"2985";"AF Pattern"
"2986";"AF type"
"2987";"AF Type"
"2988";"AF type — no. (%)"
"2989";"AFCAPS/"
"2990";"Affected body-surface area >3% — no. {%)"
"2991";"Africa"
"2992";"Africa ! Near East"
"2993";"Africa or Near East"
"2994";"Africa*"
"2995";"Africa, Asia, or the Middle East"
"2996";"African"
"2997";"African-American"
"2998";"African-American / African Heritage (n=129)"
"2999";"African-American/African heritage (n=129)"
"3000";"African-Latin American"
"3001";"African America"
"3002";"African American"
"3003";"African American N = 228"
"3004";"African American, n (%)"
"3005";"African American/black"
"3006";"African Americans"
"3007";"African descent"
"3008";"after 48 h"
"3009";"After amendment"
"3010";"After Amendment (%)"
"3011";"After bronchodilation"
"3012";"After bronchodilator use"
"3013";"After PCI"
"3014";"AG"
"3015";"AG+GG"
"3016";"Aga Group"
"3017";"Age"
"3018";"AGE"
"3019";"age-interaction"
"3020";"Age— yr"
"3021";"Age—mean (SD) (years)"
"3022";"Age—year (median)"
"3023";"Age ' 70 y (n 1220)"
"3024";"Age '^75 yrs"
"3025";"Age - mean (sd) years"
"3026";"Age - years"
"3027";"Age - years, Median (IQR)"
"3028";"Age — y, meantSD"
"3029";"Age — y£"
"3030";"Age — yr"
"3031";"Age — yr Age group — no. (%)"
"3032";"Age — yr Race — no. (%)f"
"3033";"Age — yrf"
"3034";"Age —yr"
"3035";"Age #75 yrs"
"3036";"Age $65 years§*"
"3037";"Age $65 yrs"
"3038";"Age $75 yrs"
"3039";"Age &65"
"3040";"Age ( years)"
"3041";"Age (median [IQR]), y"
"3042";"Age (median, IQR), y"
"3043";"Age (median, years)"
"3044";"Age (p=O-53)"
"3045";"Age (per 5 years)"
"3046";"Age (range) (years)"
"3047";"Age (SD), y"
"3048";"Age (y)"
"3049";"Age (y) [mean - SD]"
"3050";"Age (y)∗"
"3051";"Age (y), mean (range)"
"3052";"Age (y), mean (SD)"
"3053";"Age (y), median (25th to 75th percentiles)"
"3054";"Age (y), median (IQR)"
"3055";"Age (y), median (min, max)"
"3056";"Age (y), median (min, max}"
"3057";"Age (year)"
"3058";"Age (year), mean±SD"
"3059";"Age (years (s.d.))"
"3060";"Age (years)"
"3061";"Age (Years)"
"3062";"Age (years) - < Median (n=195, 206)"
"3063";"Age (years) - >= Median (n=228, 217)"
"3064";"Age (years) - mean ± SD"
"3065";"Age (years) (mean ± SD)"
"3066";"Age (years) (mean, SD)"
"3067";"Age (years) [median (25th to 75th percentile)]"
"3068";"Age (years) Mean (SD)"
"3069";"Age (years) mean ± SD"
"3070";"Age (years)*"
"3071";"Age (years), mean (s.d.)"
"3072";"age (years), mean (sD)"
"3073";"Age (years), mean (SD)"
"3074";"Age (years), mean _ SD"
"3075";"Age (years), mean ± s.d."
"3076";"Age (years), mean ± SD"
"3077";"Age (years), mean±SD"
"3078";"Age (years), Mean±SD"
"3079";"Age (years), median (range)"
"3080";"Age (years):"
"3081";"Age (years): <65"
"3082";"Age (years): >75"
"3083";"Age (years): 65-<75"
"3084";"Age (years): mean ± SD"
"3085";"Age (years)+"
"3086";"Age (years)a"
"3087";"Age (years; SD)"
"3088";"Age (yij"
"3089";"Age (yr)"
"3090";"Age (yr)*"
"3091";"age (yr), mean (SD)"
"3092";"Age (yr), mean (SD) BMD T-score, mean (SD)"
"3093";"Age (yrs)"
"3094";"Age (yrs) <51"
"3095";"Age (yrs) 18-40"
"3096";"Age (yrs), mean *"
"3097";"Age (yrs), mean ± SD"
"3098";"Age ,65 years"
"3099";"Age [year], mean ± SDa"
"3100";"Age [years]"
"3101";"Age [years] (Interaction: p=0.55)"
"3102";"Age [years], median (range)"
"3103";"Age ^65"
"3104";"Age ^75 yrs, n (%)"
"3105";"Age £75"
"3106";"Age £75 years (ITT) (n=154)"
"3107";"Age £75 years (ITT) (n=171)"
"3108";"Age < 65"
"3109";"age < 65 years"
"3110";"Age < 65 Years"
"3111";"age < 65 years old"
"3112";"Age < 65 yrs"
"3113";"Age < 75"
"3114";"Age < 75 years"
"3115";"Age < 85"
"3116";"Age < Median"
"3117";"Age <51 Gd Lesion >1 N=72"
"3118";"Age <51 Gd Lesion=0 N=143"
"3119";"Age <60 years"
"3120";"Age <60 years and BMI <24 kg/m2"
"3121";"Age <60 years and BMI ≥24 kg/m2"
"3122";"Age <60 yr"
"3123";"Age <65"
"3124";"Age <65 vears n = 1401"
"3125";"Age <65 vears n=1159"
"3126";"Age <65 y"
"3127";"Age <65 years"
"3128";"Age <65 years — no. (%)"
"3129";"Age <65 years (ITT) (n=1178)"
"3130";"Age <65 years (ITT) (n=895)"
"3131";"Age <65 years (n=1192)"
"3132";"Age <65 years (n=124, 66)"
"3133";"Age <65 years (n=132, 67)"
"3134";"Age <65 years (n=4031)"
"3135";"Age <65 years (n=899)"
"3136";"Age <65 years (n=905)"
"3137";"Age <65 years, n (%)"
"3138";"Age <65 yr"
"3139";"Age <65 yr or >65 yr"
"3140";"Age <65 yrs"
"3141";"Age <65: QVAI49-SFC"
"3142";"Age <65years"
"3143";"Age <65yrs"
"3144";"Age <68 years3"
"3145";"Age <69 years (median)"
"3146";"Age <70 years (median)"
"3147";"Age <75"
"3148";"Age <75 y"
"3149";"Age <75 y (n=8932)"
"3150";"Age <75 Years (n="
"3151";"Age <75 Years (n=8932)"
"3152";"Age <75 yr or >75 yr"
"3153";"Age <75 yrs"
"3154";"Age <Median"
"3155";"Age ≥60 years and BMI <24 kg/m2"
"3156";"Age ≥60 years and BMI ≥24 kg/m2"
"3157";"Age ≥65 years"
"3158";"Age ≥65 years, n (%)"
"3159";"Age ≥75 years"
"3160";"Age ≥75 yearsa"
"3161";"Age >"
"3162";"Age >- Median"
"3163";"Age > 65"
"3164";"Age > 65 years"
"3165";"Age > 65 Years"
"3166";"Age > 70"
"3167";"Age > 75"
"3168";"Age > 75 years"
"3169";"Age > 75 years, n(%)"
"3170";"Age > 75 yr"
"3171";"Age > 75 yr 十"
"3172";"Age > 85"
"3173";"age >= 65 years"
"3174";"Age >= 65 yrs"
"3175";"Age >=75"
"3176";"Age >51 Gd Lesion >1 N=37"
"3177";"Age >51 Gd Lesion=0 N=187"
"3178";"Age >60 years"
"3179";"Age >60 yr (%)"
"3180";"Age >60 yr and elevated biomarkers"
"3181";"Age >60 yr and ST-segment changes"
"3182";"Age >60 yr, elevated biomarkers, and ST-segment changes"
"3183";"Age >65 (years)t"
"3184";"Age >65 vears n = 318"
"3185";"Age >65 vears n=258"
"3186";"Age >65 y"
"3187";"Age >65 y (%)"
"3188";"Age >65 y*"
"3189";"Age >65 y, %"
"3190";"Age >65 y, n (%)"
"3191";"Age >65 years"
"3192";"Age >65 years, %"
"3193";"Age >65 years, n (%)"
"3194";"Age >65 yr"
"3195";"Age >65 yr — no. (%)"
"3196";"Age >65 yr, no. (%)"
"3197";"Age >65 yrs"
"3198";"Age >65 yrs, %"
"3199";"Age >65, %"
"3200";"Age >65: QVAI49-SFC"
"3201";"Age >68 years3"
"3202";"Age >69 years (median)"
"3203";"Age >70 y"
"3204";"Age >70 y (n=802)"
"3205";"Age >70 y(n=802)"
"3206";"Age >70 years"
"3207";"Age >70 years (median)"
"3208";"Age >70 years, n (%)"
"3209";"Age >70 yr"
"3210";"Age >70 yrs"
"3211";"Age >75"
"3212";"Age >75 y"
"3213";"Age >75 y (n = 2194)"
"3214";"Age >75 y (n = 2206)"
"3215";"Age >75 y (n=2010)"
"3216";"Age >75 y**"
"3217";"Age >75 y, %"
"3218";"Age >75 y, n (%)"
"3219";"Age >75 y, n/N (%)"
"3220";"Age >75 years"
"3221";"Age >75 years (ITT) (n=217)"
"3222";"Age >75 years (n=174)"
"3223";"Age >75 Years (n=2010)"
"3224";"Age >75 years (n=222)"
"3225";"Age >75 years, n (%)"
"3226";"Age >75 yr"
"3227";"Age >75 yr — no. (%)"
"3228";"Age >75 yrs"
"3229";"Age >75 yrs*"
"3230";"Age >75 yrs, n (%)"
"3231";"Age >75, y"
"3232";"Age ± SD (yrs)"
"3233";"Age 2 65 y"
"3234";"Age 265"
"3235";"Age 265years"
"3236";"Age 275 y"
"3237";"Age 275 years (n=156)"
"3238";"Age 3*60 yr"
"3239";"Age 50-59 yr, elevated biomarkers, and previous vascular"
"3240";"Age 55-54 y (n = 4943)"
"3241";"Age 55-64 y (n = 4968)"
"3242";"Age 55 64 y"
"3243";"AGE 65-74"
"3244";"Age 65-74 y (n = 3968)"
"3245";"Age 65-74 y (n = 3979)"
"3246";"Age 65-74 years (ITT) (n=538)"
"3247";"Age 65-74 years (ITT) (n=542)"
"3248";"Age 65-74 years (ITT) (n=728)"
"3249";"Age 65-74 years (n=542)"
"3250";"Age 65-74 years (n=551)"
"3251";"Age 65-74 years (n=737)"
"3252";"Age 65-75"
"3253";"Age 65+"
"3254";"Age 65+ y"
"3255";"Age 65+ years"
"3256";"Age 65+yrs"
"3257";"Age 75 years or more"
"3258";"Age a 65"
"3259";"Age at asthma diagnosis years"
"3260";"Age at baseline (years)"
"3261";"Age at baseline in years, mean (SD)"
"3262";"Age at completion of highest level of"
"3263";"Age at diagnosis <18 years"
"3264";"Age at diagnosis of LN, years"
"3265";"Age at diagnosis of SLE, years"
"3266";"Age at diagnosis s18 years"
"3267";"Age at diagnosis, y"
"3268";"Age at disease onset, n (%)*"
"3269";"Age at disease onset, years*"
"3270";"Age at enrollment (years)"
"3271";"Age at enrollment (years), mean (SD)"
"3272";"Age at enrolment, years"
"3273";"Age at entry (years)"
"3274";"Age at first seizure, years, mean (SD)"
"3275";"Age at lipid randomization (y)"
"3276";"Age at menopause (yr)"
"3277";"Age at onset, y"
"3278";"Age at randomisation"
"3279";"Age at Randomization"
"3280";"Age at randomization (years)"
"3281";"Age at screening"
"3282";"Age at time of first seizure,"
"3283";"Age b55 y (n = 1782)"
"3284";"Age b55 y (n = 1791)"
"3285";"Age categories"
"3286";"Age categories (y), n (%)"
"3287";"Age categories, n (%)"
"3288";"Age category"
"3289";"Age category (%)"
"3290";"Age category (years), n (%)"
"3291";"Age category >"
"3292";"Age category, n (%)"
"3293";"Age category, n (%) < 65 years"
"3294";"Age category, n (%):"
"3295";"Age cohort, no. (%)"
"3296";"Age distribution"
"3297";"Age distribution, n (%)"
"3298";"Age distribution, years, n (%)"
"3299";"Age Groiro: <18 years"
"3300";"Age group"
"3301";"Age Group"
"3302";"Age group — no. (%)"
"3303";"Age group (≥75 years)—No. (%)"
"3304";"Age group (≥75)—No. (%)"
"3305";"Age group (y)"
"3306";"Age group (years)"
"3307";"Age group 一％"
"3308";"Age group 1"
"3309";"Age group 2"
"3310";"Age group, n (%)"
"3311";"Age group, no. (%)"
"3312";"Age group, no. (%), y"
"3313";"Age Groups"
"3314";"Age groups, n (%)"
"3315";"Age in 2 classes"
"3316";"Age in 3 classes"
"3317";"Age in years"
"3318";"Age in years, mean"
